Word	Bigram	Conc.M	Conc.SD	Unknown	Total	Percent_known	SUBTLEX	DOM_POS	POS	frequency
responder	0	3.44	1.47	0	25	1.0	1	Noun	NN	20043
radioactivity	0	3.44	1.6	0	27	1.0	41	Noun	NN	10009
registrar	0	3.64	1.44	1	26	0.96	27	Noun	NN	28948
predator	0	3.64	1.42	0	28	1.0	134	Noun	NN	70557
dentistry	0	3.64	1.5	0	28	1.0	19	Noun	NN	15031
commissioner	0	3.64	1.55	0	25	1.0	624	Noun	NN	104935
typo	0	3.64	1.42	0	28	1.0	34	Noun	NN	25208
substance	0	3.44	1.42	0	27	1.0	364	Noun	NN	303715
width	0	3.64	1.45	0	28	1.0	35	Noun	NN	131498
addendum	0	3.44	1.45	2	29	0.93	15	Noun	NN	10750
accuser	0	3.44	1.58	0	27	1.0	15	Noun	NN	11069
evacuation	0	3.44	1.5	0	27	1.0	169	Noun	NN	38882
equation	0	3.65	1.5	1	27	0.96	178	Noun	NN	160815
radiation	0	3.43	1.5	0	28	1.0	419	Noun	NN	177922
bodywork	0	3.43	1.55	0	28	1.0	10	Noun	NN	13393
brightness	0	3.43	1.45	0	28	1.0	30	Noun	NN	49053
program	0	3.43	1.45	0	28	1.0	2174	Noun	NN	2753534
regulator	0	3.43	1.55	0	28	1.0	41	Noun	NN	137865
gluten	0	3.65	1.41	0	26	1.0	8	Noun	NN	32645
refreshment	0	3.42	1.41	0	24	1.0	51	Noun	NN	42783
germination	0	3.42	1.56	1	25	0.96	1	Noun	NN	11816
galaxy	0	3.66	1.45	0	29	1.0	339	Noun	NN	103334
coder	0	3.42	1.53	2	26	0.92	6	Noun	NN	11696
protein	0	3.66	1.45	0	29	1.0	230	Noun	NN	308354
oxygen	0	3.66	1.72	0	29	1.0	708	Noun	NN	135813
antidote	0	3.42	1.47	1	27	0.96	221	Noun	NN	18239
footage	0	3.42	1.5	0	26	1.0	422	Noun	NN	129169
poisoning	0	3.41	1.43	0	29	1.0	302	Noun	NN	42393
deforestation	0	3.41	1.47	4	26	0.85	5	Noun	NN	17743
agriculture	0	3.67	1.44	0	27	1.0	56	Noun	NN	151508
anesthesia	0	3.41	1.7	0	29	1.0	101	Noun	NN	12304
animation	0	3.41	1.42	0	27	1.0	62	Noun	NN	142665
territory	0	3.41	1.5	0	29	1.0	748	Noun	NN	281691
apex	0	3.41	1.5	1	30	0.97	43	Noun	NN	18493
babe	0	3.67	1.47	0	27	1.0	1814	Noun	NN	21783
nitrogen	0	3.41	1.55	0	29	1.0	61	Noun	NN	61787
aroma	0	3.67	1.56	0	30	1.0	69	Noun	NN	30411
speculator	0	3.41	1.42	1	28	0.96	5	Noun	NN	16752
innings	0	3.41	1.58	0	27	1.0	49	Noun	NN	13473
precinct	0	3.67	1.49	0	30	1.0	374	Noun	NN	23815
devil	0	3.41	1.57	0	29	1.0	2108	Noun	NN	106501
breakout	0	3.41	1.45	0	27	1.0	16	Noun	NN	17707
interpreter	0	3.67	1.54	0	27	1.0	91	Noun	NN	63627
news	0	3.41	1.52	0	29	1.0	8399	Noun	NN	1374921
estrogen	0	3.68	1.49	0	25	1.0	26	Noun	NN	23722
bidder	0	3.4	1.41	0	25	1.0	88	Noun	NN	37708
identification	0	3.4	1.52	0	30	1.0	409	Noun	NN	188847
policyholder	0	3.4	1.59	0	30	1.0	3	Noun	NN	11473
spacer	0	3.68	1.57	4	29	0.86	5	Noun	NN	11683
biochemistry	0	3.4	1.43	0	30	1.0	29	Noun	NN	14333
reactor	0	3.68	1.52	0	28	1.0	204	Noun	NN	85898
application	0	3.4	1.53	0	25	1.0	510	Noun	NN	2006189
doctorate	0	3.4	1.48	0	30	1.0	46	Noun	NN	34882
warmth	0	3.39	1.47	1	29	0.97	227	Noun	NN	72830
serotonin	0	3.69	1.49	1	30	0.97	16	Noun	NN	13362
biography	0	3.39	1.45	0	28	1.0	75	Noun	NN	95924
coma	0	3.69	1.44	0	29	1.0	626	Noun	NN	21166
rehab	0	3.39	1.47	1	29	0.97	331	Noun	NN	22231
traitor	0	3.69	1.54	0	29	1.0	540	Noun	NN	32289
